[2025-10-30 11:18:20 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:23:26 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:23:47 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:24:34 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:26:20 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:27:14 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:27:27 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:30:12 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:30:41 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:32:36 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:32:50 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:33:01 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:34:36 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:35:11 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:37:20 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:37:48 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:38:12 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:38:39 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:39:12 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:45:57 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:46:16 AM-Train.py-INFO:Network-Train]
[2025-10-30 11:46:35 AM-Train.py-INFO:Network-Train]
[2025-10-30 12:44:59 PM-Train.py-INFO:Network-Train]
[2025-10-30 12:50:25 PM-Train.py-INFO:[Val Info]:Epoch:2 MAE:0.3025009334087372 bestEpoch:0 bestMAE:0.28665390610694885]
[2025-10-30 12:50:40 PM-Train.py-INFO:2025-10-30 12:50:40.493416 Epoch [003/025], Step [0020/0250],  lateral-5: 1.2862]]
[2025-10-30 12:50:52 PM-Train.py-INFO:2025-10-30 12:50:52.212001 Epoch [003/025], Step [0040/0250],  lateral-5: 1.2882]]
[2025-10-30 12:51:03 PM-Train.py-INFO:2025-10-30 12:51:03.927734 Epoch [003/025], Step [0060/0250],  lateral-5: 1.3045]]
[2025-10-30 12:51:15 PM-Train.py-INFO:2025-10-30 12:51:15.651260 Epoch [003/025], Step [0080/0250],  lateral-5: 1.2878]]
[2025-10-30 12:51:27 PM-Train.py-INFO:2025-10-30 12:51:27.351193 Epoch [003/025], Step [0100/0250],  lateral-5: 1.2619]]
[2025-10-30 12:51:39 PM-Train.py-INFO:2025-10-30 12:51:39.075708 Epoch [003/025], Step [0120/0250],  lateral-5: 1.2918]]
[2025-10-30 12:51:50 PM-Train.py-INFO:2025-10-30 12:51:50.808399 Epoch [003/025], Step [0140/0250],  lateral-5: 1.3110]]
[2025-10-30 12:52:02 PM-Train.py-INFO:2025-10-30 12:52:02.534370 Epoch [003/025], Step [0160/0250],  lateral-5: 1.2297]]
[2025-10-30 12:52:14 PM-Train.py-INFO:2025-10-30 12:52:14.253600 Epoch [003/025], Step [0180/0250],  lateral-5: 1.2099]]
[2025-10-30 12:52:25 PM-Train.py-INFO:2025-10-30 12:52:25.981475 Epoch [003/025], Step [0200/0250],  lateral-5: 1.2567]]
[2025-10-30 12:52:37 PM-Train.py-INFO:2025-10-30 12:52:37.714048 Epoch [003/025], Step [0220/0250],  lateral-5: 1.2008]]
[2025-10-30 12:52:49 PM-Train.py-INFO:2025-10-30 12:52:49.440054 Epoch [003/025], Step [0240/0250],  lateral-5: 1.1613]]
[2025-10-30 12:52:55 PM-Train.py-INFO:2025-10-30 12:52:55.304726 Epoch [003/025], Step [0250/0250],  lateral-5: 1.1687]]
[2025-10-30 12:53:03 PM-Train.py-INFO:[Val Info]:Epoch:3 MAE:0.15832699835300446 bestEpoch:3 bestMAE:0.15832699835300446]
[2025-10-30 12:53:18 PM-Train.py-INFO:2025-10-30 12:53:18.493120 Epoch [004/025], Step [0020/0250],  lateral-5: 1.0779]]
