Network,Class,S,FWB,E,MAE
PFNet,AVERAGE,0.737,0.66,0.838,0.06
PFNet,Chameleon,0.695,0.489,0.85,0.037
PFNet,Cat,0.75,0.557,0.895,0.058
PFNet,Dog,0.903,0.829,0.973,0.008
PFNet,Owl,0.81,0.7,0.88,0.043
