Network,Class,S,FWB,E,MAE
PFNet_WT,AVERAGE,0.965,0.892,0.942,0.015
PFNet_WT,Chameleon,0.668,0.633,0.914,0.04
PFNet_WT,Cat,0.638,0.477,0.716,0.083
PFNet_WT,Dog,0.759,0.695,0.832,0.034
PFNet_WT,Owl,0.791,0.733,0.893,0.051
