Network,Class,S,FWB,E,MAE
RISNet_ND_Custom,AVERAGE,0.932,0.782,0.91,0.026
RISNet_ND_Custom,Chameleon,0.589,0.421,0.701,0.07
RISNet_ND_Custom,Cat,0.652,0.533,0.823,0.08
RISNet_ND_Custom,Dog,0.842,0.761,0.874,0.024
RISNet_ND_Custom,Owl,0.737,0.66,0.838,0.06
